               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.7319,              1.2234,              1.3928,             0.44691,             0.38462,             0.21567,            0.076463,              2.2862,              2.7896,              1.6878,            0.002872,            0.002872,            0.002872
                  38,              1.7432,              1.3017,              1.3813,             0.36269,             0.35173,             0.18887,            0.068121,              2.3853,              3.1123,              1.6799,            0.002674,            0.002674,            0.002674
                  39,              1.8309,              1.4222,              1.3792,             0.21604,             0.30769,             0.10833,            0.039013,              2.4797,              3.8613,              1.7125,            0.002476,            0.002476,            0.002476
                  40,              1.7534,              1.2863,               1.384,             0.39938,             0.30769,              0.2087,            0.064474,              2.1816,              3.4013,              1.4697,            0.002278,            0.002278,            0.002278
                  41,              1.6152,              1.3475,              1.3658,             0.38871,             0.30769,             0.19224,            0.058354,              2.0272,              3.5822,              1.4234,             0.00208,             0.00208,             0.00208
                  42,              1.5798,              1.0875,               1.217,             0.32473,             0.30769,             0.16941,            0.050167,              2.6434,              3.9542,              1.7999,            0.001882,            0.001882,            0.001882
                  43,              1.5806,              1.1485,              1.2697,             0.56512,             0.30769,             0.25829,            0.081411,              2.4801,              3.6664,              1.6522,            0.001684,            0.001684,            0.001684
                  44,              1.6061,              1.2204,              1.3108,             0.42267,             0.30769,             0.22094,            0.066328,              2.4608,              3.4226,              1.5451,            0.001486,            0.001486,            0.001486
                  45,               1.556,              1.1325,              1.2694,             0.33166,             0.30557,             0.17211,            0.060253,              2.5472,               3.159,              1.5877,            0.001288,            0.001288,            0.001288
                  46,              1.4884,              1.0248,              1.2666,             0.54912,             0.23077,              0.2343,            0.061673,              2.6912,              3.0504,              1.7367,             0.00109,             0.00109,             0.00109
                  47,              1.4326,             0.97053,              1.2459,             0.55327,             0.23077,             0.25313,            0.086855,              2.6922,              2.9905,              1.7412,            0.000892,            0.000892,            0.000892
                  48,              1.4295,             0.94113,              1.2197,             0.23514,             0.33197,             0.23843,            0.069452,              2.6681,              3.1163,              1.7551,            0.000694,            0.000694,            0.000694
                  49,              1.4416,             0.94662,              1.2161,             0.27395,             0.29122,             0.22624,            0.074358,              2.6641,              3.1866,              1.8205,            0.000496,            0.000496,            0.000496
